id,tipo,origen,aditivo,clasificación,aditivos_alergicos
E541,Sospechoso,Químico o sintético,Fosfato ácido,Estabilizante Estabilizantes,"Dont worry, be happy!"
E542,No nocivo,Animal,Fosfato óseo,Estabilizante Estabilizantes,"Dont worry, be happy!"
E551,No nocivo,Químico o sintético,Dióxido Silicio,Estabilizante Estabilizantes,"Dont worry, be happy!"
E552,No nocivo,Químico o sintético,Silicato cálcico,Estabilizante Estabilizantes,"Dont worry, be happy!"
E553,No nocivo,Químico o sintético,Talco,Estabilizante Estabilizantes,"Dont worry, be happy!"
E554,No nocivo,Químico o sintético,Silicatos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E556,No nocivo,Químico o sintético,Silicatos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E558,Sospechoso,Químico o sintético,Bentonita,Estabilizante Estabilizantes,"Dont worry, be happy!"
E559,Sospechoso,Químico o sintético,Silicato de Aluminio,Estabilizante Estabilizantes,"Dont worry, be happy!"
E570,Sospechoso,Indeterminado,Ácidos grasos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E572,No nocivo,Químico o sintético,Esterato Mg,Estabilizante Estabilizantes,"Dont worry, be happy!"
E574,Sospechoso,Químico o sintético,Ácido glucónico,Estabilizante Estabilizantes,"Dont worry, be happy!"
E575,Sospechoso,Químico o sintético,Glucono-delto-...,Estabilizante Estabilizantes,"Dont worry, be happy!"
E576,No nocivo,Químico o sintético,Glucon...,Estabilizante Estabilizantes,"Dont worry, be happy!"
E579,No nocivo,Químico o sintético,Glucon...,Estabilizante Estabilizantes,"Dont worry, be happy!"
E585,No nocivo,Químico o sintético,Lactato ferroso,Estabilizante Estabilizantes,"Dont worry, be happy!"
E620,Sospechoso,Químico o sintético,Ácido glucónico,Saborizante Saborizantes,"Dont worry, be happy!"
E621,¡Peligroso!,Químico o sintético,Glutamatos,Saborizante Saborizantes,"Dont worry, be happy!"
E625,¡Peligroso!,Químico o sintético,Glutamatos,Saborizante Saborizantes,"Dont worry, be happy!"
